frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182617.432293000","192.168.45.101","210.220.163.82","81",,"53","61",,,,,,"64",,,
"1746182617.432525000","192.168.45.101","210.220.163.82","81",,"53","61",,,,,,"64",,,
"1746182617.445575000","210.220.163.82","192.168.45.101","192",,"39402","172",,,,,,"248",,,
"1746182617.446483000","210.220.163.82","192.168.45.101","204",,"54890","184",,,,,,"248",,,
"1746182617.446941000","192.168.45.101","34.107.221.82","60",,,,"1","0","80","0","0","64",,,
"1746182617.456204000","34.107.221.82","192.168.45.101","60",,,,"1","1","32774","0","1","115",,,
"1746182617.456245000","192.168.45.101","34.107.221.82","52",,,,"0","1","80","1","1","64",,,
"1746182617.456430000","192.168.45.101","34.107.221.82","353",,,,"0","1","80","1","1","64",,,
"1746182617.466840000","34.107.221.82","192.168.45.101","52",,,,"0","1","32774","1","302","115",,,
"1746182617.472729000","34.107.221.82","192.168.45.101","350",,,,"0","1","32774","1","302","115",,,
"1746182617.472764000","192.168.45.101","34.107.221.82","52",,,,"0","1","80","302","299","64",,,
"1746182617.667176000","192.168.45.101","210.220.163.82","68",,"53","48",,,,,,"64",,,
"1746182617.667550000","192.168.45.101","34.107.221.82","60",,,,"1","0","80","0","0","64",,,
"1746182617.678125000","210.220.163.82","192.168.45.101","132",,"58767","112",,,,,,"248",,,
"1746182617.678127000","34.107.221.82","192.168.45.101","60",,,,"1","1","32784","0","1","115",,,
"1746182617.678212000","192.168.45.101","34.107.221.82","52",,,,"0","1","80","1","1","64",,,
"1746182617.678799000","192.168.45.101","34.107.221.82","370",,,,"0","1","80","1","1","64",,,
"1746182617.681071000","192.168.45.101","210.220.163.82","68",,"53","48",,,,,,"64",,,
"1746182617.689785000","34.107.221.82","192.168.45.101","52",,,,"0","1","32784","1","319","115",,,
"1746182617.691918000","210.220.163.82","192.168.45.101","180",,"56715","160",,,,,,"248",,,
"1746182617.692466000","192.168.45.101","210.220.163.82","75",,"53","55",,,,,,"64",,,
"1746182617.694718000","34.107.221.82","192.168.45.101","268",,,,"0","1","32784","1","319","115",,,
"1746182617.694751000","192.168.45.101","34.107.221.82","52",,,,"0","1","80","319","217","64",,,
"1746182617.704482000","210.220.163.82","192.168.45.101","148",,"48679","128",,,,,,"248",,,
"1746182617.705283000","192.168.45.101","210.220.163.82","70",,"53","50",,,,,,"64",,,
"1746182617.705491000","192.168.45.101","210.220.163.82","70",,"53","50",,,,,,"64",,,
"1746182617.710961000","192.168.45.101","210.220.163.82","72",,"53","52",,,,,,"64",,,
"1746182617.711197000","192.168.45.101","210.220.163.82","72",,"53","52",,,,,,"64",,,
"1746182617.721414000","210.220.163.82","192.168.45.101","141",,"40450","121",,,,,,"248",,,
"1746182617.723335000","210.220.163.82","192.168.45.101","102",,"48897","82",,,,,,"248",,,
"1746182617.723337000","210.220.163.82","192.168.45.101","127",,"35660","107",,,,,,"248",,,
"1746182617.723337000","210.220.163.82","192.168.45.101","218",,"55578","198",,,,,,"248",,,
"1746182617.724410000","192.168.45.101","210.220.163.82","96",,"53","76",,,,,,"64",,,
"1746182617.737206000","210.220.163.82","192.168.45.101","189",,"53131","169",,,,,,"248",,,
"1746182617.751081000","192.168.45.101","34.36.137.203","1280",,"443","1260",,,,,,"64",,,
"1746182617.751251000","192.168.45.101","34.36.137.203","1280",,"443","1260",,,,,,"64",,,
"1746182617.751338000","192.168.45.101","34.36.137.203","1280",,"443","1260",,,,,,"64",,,
"1746182617.773830000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182617.773831000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182617.773832000","34.36.137.203","192.168.45.101","1280",,"51848","1260",,,,,,"53",,,
"1746182617.773832000","34.36.137.203","192.168.45.101","1280",,"51848","1260",,,,,,"53",,,
"1746182617.808648000","34.36.137.203","192.168.45.101","1280",,"51848","1260",,,,,,"53",,,
"1746182617.808649000","34.36.137.203","192.168.45.101","1280",,"51848","1260",,,,,,"53",,,
"1746182617.809501000","192.168.45.101","34.36.137.203","70",,"443","50",,,,,,"64",,,
"1746182617.812436000","192.168.45.101","34.36.137.203","60",,,,"1","0","443","0","0","64",,,
"1746182617.812823000","34.36.137.203","192.168.45.101","1280",,"51848","1260",,,,,,"53",,,
"1746182617.812825000","34.36.137.203","192.168.45.101","1126",,"51848","1106",,,,,,"53",,,
"1746182617.813429000","192.168.45.101","34.36.137.203","70",,"443","50",,,,,,"64",,,
"1746182617.823973000","34.36.137.203","192.168.45.101","60",,,,"1","1","39398","0","1","115",,,
"1746182617.824014000","192.168.45.101","34.36.137.203","52",,,,"0","1","443","1","1","64",,,
"1746182617.825882000","192.168.45.101","34.36.137.203","1952",,,,"0","1","443","1","1","64",,,
"1746182617.838343000","34.36.137.203","192.168.45.101","52",,,,"0","1","39398","1","1401","115",,,
"1746182617.842415000","34.36.137.203","192.168.45.101","52",,,,"0","1","39398","1","1901","115",,,
"1746182617.874849000","192.168.45.101","34.36.137.203","72",,"443","52",,,,,,"64",,,
"1746182617.893593000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182617.925432000","34.36.137.203","192.168.45.101","2852",,,,"0","1","39398","1","1901","115",,,
"1746182617.925484000","192.168.45.101","34.36.137.203","52",,,,"0","1","443","1901","2801","64",,,
"1746182617.928606000","192.168.45.101","210.220.163.82","67",,"53","47",,,,,,"64",,,
"1746182617.928985000","192.168.45.101","210.220.163.82","67",,"53","47",,,,,,"64",,,
"1746182617.932846000","34.36.137.203","192.168.45.101","1752",,,,"0","1","39398","2801","1901","115",,,
"1746182617.932887000","192.168.45.101","34.36.137.203","52",,,,"0","1","443","1901","4501","64",,,
"1746182617.936880000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182617.942794000","210.220.163.82","192.168.45.101","118",,"57315","98",,,,,,"248",,,
"1746182617.942796000","210.220.163.82","192.168.45.101","130",,"52805","110",,,,,,"248",,,
"1746182617.943964000","192.168.45.101","142.250.207.99","60",,,,"1","0","80","0","0","64",,,
"1746182617.955327000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
